threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.73,53,38,56849,22,0.582418,0.706667,0.638554,0.641025,0.999332,1192.79,475.0,1667.79
0.74,52,38,56849,23,0.577778,0.693333,0.630303,0.632397,0.999332,1248.68,475.0,1723.68
0.75,52,33,56854,23,0.611765,0.693333,0.65,0.650786,0.99942,1248.68,412.5,1661.18
0.76,52,30,56857,23,0.634146,0.693333,0.66242,0.662616,0.999473,1248.68,375.0,1623.68
0.77,51,29,56858,24,0.6375,0.68,0.658065,0.657942,0.99949,1301.37,362.5,1663.87
0.78,51,29,56858,24,0.6375,0.68,0.658065,0.657942,0.99949,1301.37,362.5,1663.87
0.79,51,25,56862,24,0.671053,0.68,0.675497,0.675081,0.999561,1301.37,312.5,1613.87
0.8,51,24,56863,24,0.68,0.68,0.68,0.679578,0.999578,1301.37,300.0,1601.37
0.81,51,22,56865,24,0.69863,0.68,0.689189,0.688848,0.999613,1301.37,275.0,1576.37
0.82,51,22,56865,24,0.69863,0.68,0.689189,0.688848,0.999613,1301.37,275.0,1576.37
0.83,51,22,56865,24,0.69863,0.68,0.689189,0.688848,0.999613,1301.37,275.0,1576.37
0.84,51,18,56869,24,0.73913,0.68,0.708333,0.708582,0.999684,1301.37,225.0,1526.37
0.85,51,18,56869,24,0.73913,0.68,0.708333,0.708582,0.999684,1301.37,225.0,1526.37
0.86,50,18,56869,25,0.735294,0.666667,0.699301,0.699765,0.999684,1354.06,225.0,1579.06
0.87,49,17,56870,26,0.742424,0.653333,0.695035,0.696082,0.999701,1406.78,212.5,1619.28
0.88,48,16,56871,27,0.75,0.64,0.690647,0.692449,0.999719,1463.46,200.0,1663.46
0.89,48,16,56871,27,0.75,0.64,0.690647,0.692449,0.999719,1463.46,200.0,1663.46
0.9,48,14,56873,27,0.774194,0.64,0.70073,0.703555,0.999754,1463.46,175.0,1638.46
0.91,44,14,56873,31,0.758621,0.586667,0.661654,0.666747,0.999754,1679.08,175.0,1854.08
0.92,43,14,56873,32,0.754386,0.573333,0.651515,0.657272,0.999754,1731.76,175.0,1906.76
0.93,38,13,56874,37,0.745098,0.506667,0.603175,0.614017,0.999771,2011.57,162.5,2174.07
0.94,35,11,56876,40,0.76087,0.466667,0.578512,0.595481,0.999807,2169.66,137.5,2307.16
0.95,35,6,56881,40,0.853659,0.466667,0.603448,0.630838,0.999895,2169.66,75.0,2244.66
0.96,34,2,56885,41,0.944444,0.453333,0.612613,0.654055,0.999965,2223.04,25.0,2248.04
0.97,33,2,56885,42,0.942857,0.44,0.6,0.643816,0.999965,2280.44,25.0,2305.44
0.98,32,2,56885,43,0.941176,0.426667,0.587156,0.633414,0.999965,2333.13,25.0,2358.13
0.99,31,2,56885,44,0.939394,0.413333,0.574074,0.622841,0.999965,2406.16,25.0,2431.16
