threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.64,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.65,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.66,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.67,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.68,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.69,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.7,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.71,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.72,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.73,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.74,50,0,56887,25,1.0,0.666667,0.8,0.816317,1.0,1370.67,0.0,1370.67
0.75,49,0,56887,26,1.0,0.653333,0.790323,0.808106,1.0,1424.41,0.0,1424.41
0.76,49,0,56887,26,1.0,0.653333,0.790323,0.808106,1.0,1424.41,0.0,1424.41
0.77,49,0,56887,26,1.0,0.653333,0.790323,0.808106,1.0,1424.41,0.0,1424.41
0.78,49,0,56887,26,1.0,0.653333,0.790323,0.808106,1.0,1424.41,0.0,1424.41
0.79,49,0,56887,26,1.0,0.653333,0.790323,0.808106,1.0,1424.41,0.0,1424.41
0.8,49,0,56887,26,1.0,0.653333,0.790323,0.808106,1.0,1424.41,0.0,1424.41
0.81,49,0,56887,26,1.0,0.653333,0.790323,0.808106,1.0,1424.41,0.0,1424.41
0.82,49,0,56887,26,1.0,0.653333,0.790323,0.808106,1.0,1424.41,0.0,1424.41
0.83,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.7,0.0,1477.7
0.84,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.7,0.0,1477.7
0.85,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.7,0.0,1477.7
0.86,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.7,0.0,1477.7
0.87,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.7,0.0,1477.7
0.88,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.7,0.0,1477.7
0.89,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.7,0.0,1477.7
0.9,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.7,0.0,1477.7
0.91,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.7,0.0,1477.7
0.92,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.7,0.0,1477.7
0.93,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.7,0.0,1477.7
0.94,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.7,0.0,1477.7
0.95,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.7,0.0,1477.7
0.96,31,0,56887,44,1.0,0.413333,0.584906,0.642662,1.0,2398.44,0.0,2398.44
0.97,31,0,56887,44,1.0,0.413333,0.584906,0.642662,1.0,2398.44,0.0,2398.44
0.98,31,0,56887,44,1.0,0.413333,0.584906,0.642662,1.0,2398.44,0.0,2398.44
0.99,10,0,56887,65,1.0,0.133333,0.235294,0.36494,1.0,3518.85,0.0,3518.85
