threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.61,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.62,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.63,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.64,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.65,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.66,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.67,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.68,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.69,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.7,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.71,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.72,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.73,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.74,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.75,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.76,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.77,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.78,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.79,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.8,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.81,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.82,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.83,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.84,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.85,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.86,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.87,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.88,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.89,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.9,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.91,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.92,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.93,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.94,56,3,56884,19,0.949153,0.746667,0.835821,0.841666,0.999947,1036.66,37.5,1074.16
0.95,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.96,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.97,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.98,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.99,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
