,precision,recall,f1,mcc,roc_auc,pr_auc,specificity,balanced_accuracy,tp,fp,tn,fn,training_time,inference_time
logistic_regression,0.7391304347826086,0.68,0.7083333333333334,0.7085817536502734,0.8596937788950023,0.6297748439772645,0.9996835832439749,0.8398417916219875,51.0,18.0,56869.0,24.0,90.94,0.001231
random_forest,0.9206349206349206,0.7733333333333333,0.8405797101449275,0.8435909717800293,0.9825224275024758,0.8093612078322977,0.9999121064566597,0.8866227198949965,58.0,5.0,56882.0,17.0,110.96,0.010887
xgboost,1.0,0.72,0.8372093023255814,0.8483715624688891,0.8866311576751571,0.7651293624514826,1.0,0.86,54.0,0.0,56887.0,21.0,18.07,0.003302
lightgbm,0.8923076923076924,0.7733333333333333,0.8285714285714286,0.8304880846180678,0.8866421736659227,0.7621445984232403,0.9998769490393236,0.8866051411863285,58.0,7.0,56880.0,17.0,19.66,0.021929
catboost,0.9344262295081968,0.76,0.8382352941176471,0.8425306137324341,0.9261906352359357,0.8010784189750478,0.9999296851653278,0.8799648425826638,57.0,4.0,56883.0,18.0,30.28,0.00144
voting_ensemble,0.9491525423728814,0.7466666666666667,0.835820895522388,0.8416657381607641,0.9391385260838738,0.7287680673044172,0.9999472638739958,0.8733069652703312,56.0,3.0,56884.0,19.0,190.77,0.023868
stacking_ensemble,0.9491525423728814,0.7466666666666667,0.835820895522388,0.8416657381607641,0.8864707226607134,0.720175871407109,0.9999472638739958,0.8733069652703312,56.0,3.0,56884.0,19.0,904.05,0.032089
