threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.63,33,0,56887,42,1.0,0.44,0.611111,0.66308,1.0,2294.51,0.0,2294.51
0.64,33,0,56887,42,1.0,0.44,0.611111,0.66308,1.0,2294.51,0.0,2294.51
0.65,33,0,56887,42,1.0,0.44,0.611111,0.66308,1.0,2294.51,0.0,2294.51
0.66,33,0,56887,42,1.0,0.44,0.611111,0.66308,1.0,2294.51,0.0,2294.51
0.67,33,0,56887,42,1.0,0.44,0.611111,0.66308,1.0,2294.51,0.0,2294.51
0.68,33,0,56887,42,1.0,0.44,0.611111,0.66308,1.0,2294.51,0.0,2294.51
0.69,33,0,56887,42,1.0,0.44,0.611111,0.66308,1.0,2294.51,0.0,2294.51
0.7,33,0,56887,42,1.0,0.44,0.611111,0.66308,1.0,2294.51,0.0,2294.51
0.71,33,0,56887,42,1.0,0.44,0.611111,0.66308,1.0,2294.51,0.0,2294.51
0.72,33,0,56887,42,1.0,0.44,0.611111,0.66308,1.0,2294.51,0.0,2294.51
0.73,32,0,56887,43,1.0,0.426667,0.598131,0.652951,1.0,2347.2,0.0,2347.2
0.74,32,0,56887,43,1.0,0.426667,0.598131,0.652951,1.0,2347.2,0.0,2347.2
0.75,32,0,56887,43,1.0,0.426667,0.598131,0.652951,1.0,2347.2,0.0,2347.2
0.76,32,0,56887,43,1.0,0.426667,0.598131,0.652951,1.0,2347.2,0.0,2347.2
0.77,32,0,56887,43,1.0,0.426667,0.598131,0.652951,1.0,2347.2,0.0,2347.2
0.78,32,0,56887,43,1.0,0.426667,0.598131,0.652951,1.0,2347.2,0.0,2347.2
0.79,32,0,56887,43,1.0,0.426667,0.598131,0.652951,1.0,2347.2,0.0,2347.2
0.8,32,0,56887,43,1.0,0.426667,0.598131,0.652951,1.0,2347.2,0.0,2347.2
0.81,31,0,56887,44,1.0,0.413333,0.584906,0.642662,1.0,2399.88,0.0,2399.88
0.82,31,0,56887,44,1.0,0.413333,0.584906,0.642662,1.0,2399.88,0.0,2399.88
0.83,31,0,56887,44,1.0,0.413333,0.584906,0.642662,1.0,2399.88,0.0,2399.88
0.84,30,0,56887,45,1.0,0.4,0.571429,0.632206,1.0,2452.57,0.0,2452.57
0.85,30,0,56887,45,1.0,0.4,0.571429,0.632206,1.0,2452.57,0.0,2452.57
0.86,6,0,56887,69,1.0,0.08,0.148148,0.282671,1.0,3736.35,0.0,3736.35
0.87,4,0,56887,71,1.0,0.053333,0.101266,0.230796,1.0,3841.93,0.0,3841.93
0.88,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
