threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.53,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.54,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.55,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.56,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.57,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.58,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.59,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.6,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.61,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.62,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.63,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.64,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.65,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.66,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.67,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.68,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.69,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.7,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.71,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.72,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.73,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.74,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.75,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.76,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.77,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.78,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.79,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.8,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.81,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.82,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.83,55,3,56884,20,0.948276,0.733333,0.827068,0.833723,0.999947,1089.88,37.5,1127.38
0.84,54,3,56884,21,0.947368,0.72,0.818182,0.825706,0.999947,1156.03,37.5,1193.53
0.85,54,3,56884,21,0.947368,0.72,0.818182,0.825706,0.999947,1156.03,37.5,1193.53
0.86,54,3,56884,21,0.947368,0.72,0.818182,0.825706,0.999947,1156.03,37.5,1193.53
0.87,54,3,56884,21,0.947368,0.72,0.818182,0.825706,0.999947,1156.03,37.5,1193.53
0.88,54,3,56884,21,0.947368,0.72,0.818182,0.825706,0.999947,1156.03,37.5,1193.53
0.89,54,3,56884,21,0.947368,0.72,0.818182,0.825706,0.999947,1156.03,37.5,1193.53
0.9,54,3,56884,21,0.947368,0.72,0.818182,0.825706,0.999947,1156.03,37.5,1193.53
0.91,54,3,56884,21,0.947368,0.72,0.818182,0.825706,0.999947,1156.03,37.5,1193.53
0.92,54,3,56884,21,0.947368,0.72,0.818182,0.825706,0.999947,1156.03,37.5,1193.53
0.93,54,3,56884,21,0.947368,0.72,0.818182,0.825706,0.999947,1156.03,37.5,1193.53
0.94,54,3,56884,21,0.947368,0.72,0.818182,0.825706,0.999947,1156.03,37.5,1193.53
0.95,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.96,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.97,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.98,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
0.99,0,0,56887,75,0.0,0.0,0.0,0.0,1.0,4055.74,0.0,4055.74
