threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.63,54,0,56887,21,1.0,0.72,0.837209,0.848372,1.0,1156.03,0.0,1156.03
0.64,54,0,56887,21,1.0,0.72,0.837209,0.848372,1.0,1156.03,0.0,1156.03
0.65,54,0,56887,21,1.0,0.72,0.837209,0.848372,1.0,1156.03,0.0,1156.03
0.66,54,0,56887,21,1.0,0.72,0.837209,0.848372,1.0,1156.03,0.0,1156.03
0.67,54,0,56887,21,1.0,0.72,0.837209,0.848372,1.0,1156.03,0.0,1156.03
0.68,54,0,56887,21,1.0,0.72,0.837209,0.848372,1.0,1156.03,0.0,1156.03
0.69,54,0,56887,21,1.0,0.72,0.837209,0.848372,1.0,1156.03,0.0,1156.03
0.7,54,0,56887,21,1.0,0.72,0.837209,0.848372,1.0,1156.03,0.0,1156.03
0.71,54,0,56887,21,1.0,0.72,0.837209,0.848372,1.0,1156.03,0.0,1156.03
0.72,54,0,56887,21,1.0,0.72,0.837209,0.848372,1.0,1156.03,0.0,1156.03
0.73,54,0,56887,21,1.0,0.72,0.837209,0.848372,1.0,1156.03,0.0,1156.03
0.74,54,0,56887,21,1.0,0.72,0.837209,0.848372,1.0,1156.03,0.0,1156.03
0.75,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.76,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.77,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.78,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.79,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.8,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.81,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.82,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.83,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.84,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
0.85,53,0,56887,22,1.0,0.706667,0.828125,0.840472,1.0,1212.07,0.0,1212.07
