threshold,tp,fp,tn,fn,precision,recall,f1,mcc,specificity,fraud_loss,fp_cost,total_cost
0.63,57,4,56883,18,0.934426,0.76,0.838235,0.842531,0.99993,983.96,50.0,1033.96
0.64,57,4,56883,18,0.934426,0.76,0.838235,0.842531,0.99993,983.96,50.0,1033.96
0.65,54,2,56885,21,0.964286,0.72,0.824427,0.833058,0.999965,1155.5,25.0,1180.5
0.66,54,2,56885,21,0.964286,0.72,0.824427,0.833058,0.999965,1155.5,25.0,1180.5
0.67,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1155.5,12.5,1168.0
0.68,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1155.5,12.5,1168.0
0.69,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1155.5,12.5,1168.0
0.7,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1155.5,12.5,1168.0
0.71,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1155.5,12.5,1168.0
0.72,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1155.5,12.5,1168.0
0.73,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1155.5,12.5,1168.0
0.74,54,1,56886,21,0.981818,0.72,0.830769,0.840611,0.999982,1155.5,12.5,1168.0
0.75,48,1,56886,27,0.979592,0.64,0.774194,0.791592,0.999982,1477.18,12.5,1489.68
0.76,48,1,56886,27,0.979592,0.64,0.774194,0.791592,0.999982,1477.18,12.5,1489.68
0.77,48,1,56886,27,0.979592,0.64,0.774194,0.791592,0.999982,1477.18,12.5,1489.68
0.78,48,1,56886,27,0.979592,0.64,0.774194,0.791592,0.999982,1477.18,12.5,1489.68
0.79,48,1,56886,27,0.979592,0.64,0.774194,0.791592,0.999982,1477.18,12.5,1489.68
0.8,48,1,56886,27,0.979592,0.64,0.774194,0.791592,0.999982,1477.18,12.5,1489.68
0.81,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.18,0.0,1477.18
0.82,48,0,56887,27,1.0,0.64,0.780488,0.79981,1.0,1477.18,0.0,1477.18
