iter	Passed	Remaining
401	16640	8196
402	16680	8153
403	16715	8109
404	16738	8059
405	16761	8009
406	16803	7968
407	16841	7925
408	16882	7884
409	16919	7840
410	16968	7803
411	17006	7760
412	17041	7716
413	17083	7675
414	17122	7632
415	17158	7589
416	17215	7554
417	17271	7520
418	17322	7483
419	17380	7448
420	17445	7417
421	17493	7378
422	17536	7337
423	17573	7294
424	17615	7253
425	17654	7211
426	17693	7168
427	17735	7127
428	17770	7083
429	17814	7043
430	17854	7001
431	17890	6957
432	17933	6916
433	17975	6875
434	18013	6832
435	18052	6790
436	18094	6749
437	18136	6707
438	18171	6664
439	18213	6623
440	18251	6580
441	18294	6539
442	18343	6500
443	18381	6458
444	18430	6419
445	18457	6373
446	18500	6332
447	18539	6290
448	18576	6247
449	18615	6205
450	18639	6158
451	18682	6117
452	18720	6075
453	18760	6033
454	18797	5990
455	18835	5948
456	18878	5907
457	18921	5866
458	18962	5825
459	19007	5784
460	19043	5742
461	19090	5702
462	19134	5661
463	19179	5621
464	19222	5580
465	19260	5538
466	19291	5494
467	19323	5450
468	19355	5406
469	19395	5364
470	19433	5322
471	19462	5277
472	19508	5238
473	19546	5195
474	19569	5149
475	19609	5108
476	19632	5062
477	19656	5016
478	19691	4974
479	19731	4932
480	19771	4891
481	19804	4848
482	19846	4807
483	19886	4766
484	19926	4724
485	19962	4682
486	20013	4643
487	20050	4601
488	20091	4560
489	20126	4518
490	20168	4477
491	20205	4435
492	20243	4393
493	20286	4352
494	20331	4312
495	20378	4272
496	20414	4230
497	20453	4189
498	20497	4148
499	20540	4108
500	20578	4066
501	20616	4024
502	20666	3985
503	20710	3944
504	20731	3899
505	20763	3857
506	20793	3814
507	20830	3772
508	20868	3730
509	20914	3690
510	20954	3649
511	21000	3609
512	21045	3569
513	21085	3527
514	21121	3486
515	21163	3445
516	21202	3403
517	21241	3362
518	21282	3321
519	21321	3280
520	21352	3237
521	21391	3196
522	21443	3157
523	21473	3114
524	21509	3072
525	21547	3031
526	21585	2990
527	21621	2948
528	21663	2907
529	21706	2866
530	21746	2825
531	21787	2784
532	21824	2743
533	21857	2701
534	21901	2660
535	21939	2619
536	21990	2579
537	22035	2539
538	22090	2499
539	22135	2459
540	22180	2418
541	22229	2378
542	22276	2338
543	22317	2297
544	22360	2256
545	22399	2215
546	22434	2173
547	22473	2132
548	22509	2091
549	22550	2050
550	22591	2009
551	22625	1967
552	22660	1925
553	22700	1884
554	22732	1843
555	22766	1801
556	22803	1760
557	22838	1718
558	22883	1678
559	22918	1637
560	22952	1595
561	22988	1554
562	23023	1513
563	23062	1472
564	23101	1431
565	23140	1390
566	23180	1349
567	23233	1308
568	23267	1267
569	23303	1226
570	23339	1185
571	23381	1144
572	23416	1103
573	23452	1062
574	23488	1021
575	23522	980
576	23556	938
577	23591	897
578	23627	856
579	23662	815
580	23698	774
581	23734	734
582	23769	693
583	23806	652
584	23848	611
585	23882	570
586	23925	529
587	23960	488
588	24003	448
589	24037	407
590	24074	366
591	24111	325
592	24150	285
593	24186	244
594	24225	203
595	24261	162
596	24304	122
597	24349	81
598	24394	40
599	24439	0
