iter	Logloss
0	0.5834977204
1	0.4799276486
2	0.396370499
3	0.3233749158
4	0.2695579587
5	0.2207641435
6	0.1883394807
7	0.1601679413
8	0.1370002946
9	0.1196770035
10	0.1054236988
11	0.09171104268
12	0.08400427442
13	0.07618194995
14	0.06983143668
15	0.06520933963
16	0.06007999166
17	0.05678555194
18	0.05300313548
19	0.05041440646
20	0.04749216282
21	0.0453023057
22	0.04316752093
23	0.04131087809
24	0.03940883461
25	0.03774182854
26	0.03665930052
27	0.03483931119
28	0.03354028481
29	0.0326738001
30	0.03184136998
31	0.03094113237
32	0.03012388577
33	0.02935861594
34	0.02882255947
35	0.02834158922
36	0.02797968296
37	0.02768473095
38	0.02720670712
39	0.02692073541
40	0.02647892022
41	0.02590536755
42	0.02543187862
43	0.02490784782
44	0.02455009877
45	0.02408219078
46	0.02373599124
47	0.0233570454
48	0.02313451634
49	0.02292556714
50	0.02255261106
51	0.02228613805
52	0.02210762642
53	0.02188312343
54	0.02171142227
55	0.02139002173
56	0.02103016234
57	0.02075581301
58	0.02033513776
59	0.0200562211
60	0.01969435205
61	0.0193847892
62	0.01914550881
63	0.01899993337
64	0.01876015967
65	0.0185545167
66	0.01832768916
67	0.01816089606
68	0.01796355769
69	0.017846919
70	0.01775999529
71	0.01757065597
72	0.01734468032
73	0.01719738199
74	0.01694944914
75	0.01682131264
76	0.0166807018
77	0.01655395335
78	0.01641681948
79	0.01624099997
80	0.0159686649
81	0.01582469214
82	0.01556966826
83	0.01545727279
84	0.01530063034
85	0.01510675252
86	0.01503372195
87	0.01491316558
88	0.01473770028
89	0.01463789031
90	0.01448960986
91	0.01434568772
92	0.01416021421
93	0.01407910043
94	0.0138872932
95	0.01377466634
96	0.01356245068
97	0.01346897022
98	0.013365848
99	0.01325036777
100	0.01304577648
101	0.01297916858
102	0.01282714938
103	0.01273526509
104	0.01260769344
105	0.01253011689
106	0.01239809113
107	0.01227736362
108	0.01211421233
109	0.01196928367
110	0.011822155
111	0.01177942533
112	0.01157702219
113	0.01147848648
114	0.01136801761
115	0.01125040896
116	0.01109094028
117	0.0109883031
118	0.01076092529
119	0.01063913266
120	0.01057204586
121	0.01034919224
122	0.01028503255
123	0.01007775503
124	0.01002589648
125	0.009935229657
126	0.009764166501
127	0.009677226643
128	0.00961429789
129	0.009564128927
130	0.009407894681
131	0.009357297803
132	0.009309409493
133	0.009237616872
134	0.009140789345
135	0.00899313806
136	0.008885732153
137	0.008798518787
138	0.008752889488
139	0.008696903779
140	0.00863367257
141	0.008562871857
142	0.008393252096
143	0.008353324492
144	0.008305986914
145	0.008182434741
146	0.008149807492
147	0.008044502477
148	0.007965299146
149	0.007906855786
150	0.00784517394
151	0.007768873763
152	0.007720371976
153	0.007692206851
154	0.007538594269
155	0.007475652715
